id,modality,modality_type,a,b,c,d
Gnanadas 2017,3,2,4,1,1,0
Anzellotti 2010,5,2,1,0,0,0
Barron 2014 ,14,24,21,2,0,0
Bettus 2010,1,2,16,10,6,12
Boerwinkle 2017 ,4,4,27,7,2,0
Boerwinkle 2019,4,4,22,3,1,38
Chen 2017,0,1,30,2,6,4
Hunyadi 2014,2,123,4,3,3,0
Hunyadi 2015a,4,4,4,7,7,0
Hunyadi 2015b,1,2,9,3,0,0
Jann 2008,1,2,8,0,0,0
Kang 2003,2,123,7,1,0,0
Khoo 2019,3,2,16,8,7,18
Lee 2014,3,2,21,2,5,1
Morgan 2003,4,4,6,0,0,0
Reyes 2016,1,2,28,3,3,0
Wang 2007,0,1,2,0,0,0
Song 2006,0,1,2,0,0,0
Stufflebeam 2011,3,2,5,0,1,0
Su 2015,1,2,21,0,0,0
Tavares 2017,1,2,3,0,0,0
vanHoudt 2015,4,4,7,0,0,0
Weaver 2013,3,2,3,0,1,0
Yang 2015,0,1,9,2,0,0
Zhao 2019,1,2,6,0,0,0
